"u-dt","bbWrapper","username--style37"
"Feb 5, 2024","Only one loss in regulation. Not too shabby.","Flamingo"
"Feb 7, 2024","","Sens of Anarchy"
"Feb 8, 2024","Came across this… sorry if has been posted previously","Tnuoc Alucard"
"Feb 8, 2024","I wonder how far below the Team Canada roster cutt Watts is.","Flamingo"
"Feb 8, 2024","I suspect decently far actually. She is fun to watch, and creates a lot of chances, mostly for herself, but she isn't actually producing. If she can start converting chances or otherwise contributing to goals for, I see a spot, otherwise, I am not so sure. I'd like to see her have a shot either way, as she does have a positive effect while on the ice, but without increased point production I don't think they will. She is a top 6 type of player, so they need to give her that type of role to succeed. 

I do think the selection process is fairly biased, and cutting(not selecting) certain players is not something considered. We see this with other women's sports (Soccer) where the national teams are generally kept together and club performances are used more to fill openings than pick the roster.

Watching every game for Ottawa so far, I have found myself somewhat underwhelmed with some of our / the US's national team players when comparing them to others on the team who are not on our (or the US's) national team.","caymanmew"
"Feb 10, 2024","Canada won the last 2; 4-2 Wednesday, 3-0 last night; series tied 3-3","Sens of Anarchy"
"Feb 12, 2024","Wow, Canada certainly finished strong. Won the series 4-3.

Spooner and Nurse turned it on for game 7. (Also for game 6.) Jenner with an apple.","Flamingo"
"Feb 12, 2024","one area that needs improving. look at the shots against

source:","Beech"
"Feb 17, 2024","5 straight losses","mianjo"
"Feb 19, 2024","We have the lowest goals against, but are in last place. We just can't score, despited seeming to be one of the stronger possession teams in the league.","Flamingo"
"Feb 19, 2024","Exactly.","Snowwy"
"Feb 19, 2024","With 4 mins to go Ottawa winning 3-2 at Boston can they hang on..............","mianjo"
"Feb 19, 2024","4-2 EN

FT 4-2","mianjo"
"Feb 20, 2024","Shocking result.","bert"
"Feb 20, 2024","They are only one win away from claiming fourth place and they have a game in hand. All the games in this league have been close and Ottawa is right in there in terms of goals for and against differential...","Larionov"
"Feb 21, 2024","leading 1-0

1-1

down 2-1 in 2nd

3-1","mianjo"
"Feb 22, 2024","Did I miss it or did they never acknowledge that Clark went missing in the first and never came back?

These broadcasts aren't the best, I know the broadcasters are learning or whatever but it is like they have no reply access or are not paying attention to the whole picture, they seem to miss some obvious stuff and rarely correct themselves.","caymanmew"
"Feb 28, 2024","I know it is late.. 

you are hardcore.. The vast majority of PWHL fans are newbies and casual.. No need for ultra details.

it will come in 2-3 years when the fan base gains a larger hardcore element.

The minutiae of the game will make it boring for casual fans. Some 14 year old girl, just wants a pretty picture painted. If she is a true fan, in 2-3 years, she will be on here and will want details.","Beech"
"Feb 28, 2024","lead 2-1 after 2","mianjo"
"Feb 28, 2024","3-2 lead late in the third.","Senscore"
"Feb 28, 2024","Ottawa ladies hang on for a big 4-2 win after a nailbiter last minute including a big shot block by Ashton Bell on an open net chance by New York. 


A much needed win by a group that's had problems closing out games.","Senscore"
"Mar 2, 2024","Ottawa down 4-0 in 2nd period against Taranta

4-1 after 2","mianjo"
"Mar 2, 2024","Ottawa PWHL needs more grit, size and speed. Getting bullied by Toronto today.","Bileur"
"Mar 2, 2024","lost 5-2","mianjo"
"Mar 3, 2024","That was the first game I've attended (and watched in general) and have to say I was really disappointed with the intensity. Looked like all the players were skating in mud, giveaways galore, icing the puck like crazy. League needs a serious infusion of talent.

Was really excited to see them in person for the first time since I've heard it was good hockey but someone sold me some waterfront property if yesterday's game is anything to go off of","CornerStone61"
"Mar 4, 2024","Our PWHL team is a good cautionary tale about advanced stats in hockey. Apparently this team's advanced stats are great and compare very favourably to every other team in the league. If you were to show just the advanced stats to people they would assume that Ottawa is a top two team in the league. Unfortunately, when it comes to the numbers on the scoreboard that ultimately matter, they are dead last...","Larionov"
"Mar 4, 2024","I haven't seen any adv stats for the league, or watched a game, but the team sv% is league worst by a wide margin, I'm not sure you can win in a league with .900 sv% when the rest of the league averages .932% Are they leaving the goalie hung out to dry or is it bad goals, idk, but all the good adv stats in the world isn't overcoming that gap.",""
"Mar 5, 2024","Minnie 2 Ottawa 2 after 1","mianjo"
"Mar 5, 2024","Minnie 2 Ottawa 3 after 2","mianjo"
"Mar 5, 2024","Ottawa loses 4-3 on penalties","mianjo"
"Mar 6, 2024","I tuned in with 5 minutes left in the 3rd. Ottawa did great to hang in there, disrupting most shot attempts during Minny's extended o-zone possessions, then turned the tables to dominate for a few shitfs. And in overtime, we held the majority of puck possession and got most of the scoring opportunities. Nice to see Watts looking dangerous with a couple nice scoring chances.

Abstreiter looked great, 43 saves on 46 shots. Nice to see a strong showing from our 2nd string goalie. Shame it ended in a loss","Flamingo"
"Mar 6, 2024","Ottawa just cant win at anything.","RickyLafleur"
"Mar 10, 2024","Montreal 2 Ottawa 4","mianjo"
"Mar 16, 2024","Ottawa going to OT against Boston 1-1 in the showcase game in Detroit","Senscore"
"Mar 16, 2024","These ladies are skilled but they seem to try for high difficulty passes when a simple shot would do

Jenner hits the post on a down and out Boston goalie.

Ugh.","Senscore"
"Mar 16, 2024","Going to a shootout","Senscore"
"Mar 16, 2024","Ottawa loses the shootout.","Senscore"
"Mar 18, 2024","Ottawa makes 2 trades on trade deadline day

PWHL Ottawa made two deals before Monday’s trade deadline.

In the first deal, Ottawa acquired forward Tereza Vanišová from PWHL Montreal in exchange for defender Amanda Boulier.


Next, Ottawa acquired forward Shiann Darkangelo from PWHL Boston in exchange for forward Lexie Adzija and the rights to forward Caitrin Lonergan.

Both deals were approved ahead of the 4 p.m. ET deadline.

Vanišová, 28, has two goals and eight assists in 17 games for Montreal this season. She was selected in the seventh round of the PWHL Draft.


Boulier was Ottawa’s 13th-round selection in the PWHL draft. The 30-year-old has registered one goal and five assists in 17 games this season.

Darkangelo, who joins Ottawa along with Vanišová, had recorded one assist in 17 games for Boston this season.

Adzija, 23, heads to Boston after scoring five goals and dishing out three assists with Ottawa. Boston also acquired the rights to Lonergan, who is not signed by a team, but is a two-time Patty Kazmaier Memorial Award finalist which is handed out to the top female college hockey player.

In the inaugural PWHL season, Montreal sits third with 30 points, while Boston sits fourth (22 points) and Ottawa in fifth (21 points).","mianjo"
"May 6, 2024","","NyQuil"
"May 11, 2024","Not too bad for a first season. Hopefully it continues, and maybe I'll be able to actually get tickets next year!","Here I Pageau Again"
"May 21, 2024",". I noticed the UMass rink where PWHL Boston plays has a goal line that is way further out. Pretty much like the NHL in the past.

Is the NCAA game still using those ice markings? 

It looks so strange","Beech"
"May 23, 2024","Very telling that amongst all the new awards the PWHL is handing out, we are the only team to have no nominations in any category.

In a six team league that's just embarrassing.","Senscore"
"Jun 23, 2024","I'm not too deeply attentive to the finer dealings of the PWHL, but from this account it seems like we got f***ed over during the free agency period and are now looking down the barrel of an even worse season.

Classic Ottawa mismanagement bullshit.


Best attendance in the league and what do we get for it?","Senscore"
"Jun 23, 2024","GM seems to be completely incompetent lol I still don’t understand moving Adzija at all","JimmySpaetzle"
"Jun 23, 2024","Im not sure how I feel about the GM yet, but Adzija very clearly is not a meaningful player to me when you watch the games. She is a perfect player for the Ottawa fan base who tends to love the low skilled nice 4th line or 13th forward type of player. She had 6 points in her final 25 games of the season.","Snowwy"
"Jun 24, 2024","Watts was never going to re-sign here. She resented not being treated like a start after having signed a $150,000/year contract in the Premier league. Not all of it was Ottawa's fault, she was available in the sixth round of the PWHL draft and they picked her. But she didn't like playing on the third line for the first half of the season. In Toronto, she's closer to her family, and is in tighter communication with Hockey Canada. When she left her apartment at the end of the season, she discarded all of her Ottawa team mementos.

Of note, Ottawa signed Rebecca Leslie today.","Flamingo"
"Jun 24, 2024","She was a fan favourite in Ottawa’s first season, selling tickets is worth a lot to a franchise in its infancy","JimmySpaetzle"
"Jun 24, 2024","Selling tickets wasn’t an issue. I wouldn’t be surprised if she’s out of the league this year. Seems very nice but the level isn’t there.","Snowwy"
"Jun 24, 2024","She was liked, but don’t think selling tickets was an issue, as they led the league.","Golden_Jet"
"Jul 23, 2024","Dead of summer. NO Sens. No 67's. The Redblacks are not exactly the talk of the town.

It is not wise for the team to be active?

Like creating a buzz around a team name/nickname? New uniforms.

Having players here, doing appearances.

They would have the city all to themselves!!!!","Beech"
"Aug 25, 2024","Last year I questioned why the PWHL teams did not have “Nicknames” or team “Logos” and if this was a sign of poor organizational leadership at the league level…. And then the excuses came rolling in….”Not Enough time, had to be done the right way” and others.

I admittedly am not a follower of the local non named (still) team, and really wouldn’t be able to name a single players name….. So you make and EXCELLENT POINT, this league is freaking terrible at selling themselves, and if you go and do an internet Search, and can find the 2024/25 schedule, please let me know, as I could not.

I assume their season begins in October, but have no clue, it’s like they don’t have clue to, as you say, create any level of Buzz for the local team or the league.


Also, have they had enough time by now to Trademark and Register the team nicknames and create logos?

The team Merch should already be in the stores, and we should at least know the nicknames of the teams.


To me it just seems like a below minor league operation, and perhaps me and others see it that way, and is partially the reason there is no interest as it seems they’re not even trying to expand their fan base.","Tnuoc Alucard"
"Aug 26, 2024","Season is starting in November iirc, team names and logo's in September. I do agree, their marketing is not great atm.","caymanmew"
"Today at 9:15 AM","Welcome to your hometown Ottawa Charge!



Kinda underwhelmed given that they spent a year on this.","Senscore"
"Today at 9:21 AM","And the rest","Senscore"
"Today at 9:22 AM","Underwhelmed? Straight up trash. One year to work on this and this is what they come up with?

I’ve seen dozens of random people on social media who design better logos than this.","Bileur"
"Today at 9:28 AM","I'm trying to be optimistic and it's just not coming 


Is it supposed to resemble a bear claw or something?","Senscore"
"Today at 10:02 AM","Looks like a Tron light disc.","StoicSensFan"
"46 minutes ago","It’s just weird to go all in on an “electric charge” theme. Like why? How does this relate to Ottawa? This looks like something you’d get in a video game’s default create a team logos.

I didn’t like the RedBlacks name either but I thought they at least nailed the logo and colour scheme. Their explanation of the saw blade was good, with the lumberjack theme, mascot, alternate uniforms etc. all while tying in Ottawa history with the R. 

Here, apparently going all in on the electric charge theme, we replace the classic Ottawa red, black, white colour scheme with red and yellow, which just makes the logo even more reminiscent of the Flames and Cavaliers.","Bileur"
"A moment ago","Free charging for all EVs in the parking lot",""
